zip,state,value,latitude,longitude,county
8722,new jersey,25,39.931068,-74.19618,ocean
10950,new york,4235,41.323547,-74.19531,orange
7103,new jersey,250,40.738501,-74.19507,essex
7502,new jersey,0,40.918948,-74.1939,passaic
7735,new jersey,0,40.439714,-74.19374,monmouth
10974,new york,0,41.156095,-74.19214,rockland
7206,new jersey,0,40.653189,-74.19158,union
12448,new york,0,42.073259,-74.1893,ulster
7003,new jersey,1790,40.803,-74.18895,essex
7107,new jersey,750,40.760667,-74.1879,essex
12525,new york,0,41.691524,-74.18764,ulster
12053,new york,500,42.749499,-74.18601,schenectady
12454,new york,0,42.280261,-74.18349,greene
7722,new jersey,25150,40.300226,-74.18306,monmouth
7508,new jersey,0,40.945198,-74.18286,passaic
10311,new york,0,40.605245,-74.179485,richmond
7730,new jersey,9360,40.423298,-74.179,monmouth
12010,new york,3450,42.940644,-74.17899,montgomery
7114,new jersey,7000,40.707553,-74.17883,essex
7522,new jersey,0,40.925778,-74.17784,passaic
10312,new york,10150,40.543117,-74.17628,richmond
12586,new york,250,41.563701,-74.1755,ulster
7102,new jersey,53391,40.735257,-74.17326,essex
7733,new jersey,17856,40.384832,-74.17194,monmouth
10975,new york,0,41.246428,-74.17141,orange
7505,new jersey,0,40.916165,-74.17129,passaic
7013,new jersey,2515,40.868699,-74.17102,passaic
7501,new jersey,200,40.912198,-74.16863,passaic
12983,new york,19807,44.324736,-74.16843,franklin
7104,new jersey,2701,40.767702,-74.16831,essex
8741,new jersey,0,39.934318,-74.16773,ocean
10931,new york,0,41.126395,-74.16718,rockland
7481,new jersey,12402,40.998583,-74.1671,bergen
8734,new jersey,10,39.862864,-74.16624,ocean
12484,new york,3650,41.850294,-74.16619,ulster
12917,new york,0,44.915973,-74.16565,franklin
10303,new york,5350,40.629448,-74.16239,richmond
10992,new york,250,41.428269,-74.16178,orange
7430,new jersey,5750,41.077102,-74.16147,bergen
7109,new jersey,2000,40.7935,-74.16144,essex
12409,new york,33650,42.061841,-74.16063,ulster
8721,new jersey,0,39.902851,-74.16037,ocean
12147,new york,0,42.518386,-74.15997,albany
12433,new york,750,42.000093,-74.15946,ulster
12424,new york,0,42.240343,-74.15932,greene
7110,new jersey,4150,40.8196,-74.15877,essex
7524,new jersey,500,40.930398,-74.15829,passaic
7012,new jersey,1000,40.847922,-74.1579,passaic
7727,new jersey,0,40.205367,-74.15767,monmouth
7503,new jersey,1000,40.896798,-74.15731,passaic
12460,new york,0,42.406464,-74.15692,greene
12023,new york,250,42.610306,-74.15692,schoharie
7506,new jersey,248,40.957498,-74.15627,passaic
12575,new york,0,41.478722,-74.15626,orange
7029,new jersey,0,40.745951,-74.15509,hudson
12589,new york,0,41.615036,-74.15461,ulster
12025,new york,0,43.07681,-74.15332,saratoga
12852,new york,0,43.972307,-74.15321,essex
12427,new york,0,42.167622,-74.15306,greene
7105,new jersey,5670,40.725801,-74.15206,essex
8753,new jersey,5050,39.974584,-74.15141,ocean
12418,new york,0,42.357579,-74.15136,greene
10308,new york,10,40.551353,-74.15098,richmond
7513,new jersey,500,40.906598,-74.14944,passaic
12134,new york,0,43.21892,-74.14822,hamilton
8732,new jersey,0,39.942616,-74.14689,ocean
10314,new york,5775,40.606337,-74.14513,richmond
7514,new jersey,0,40.923648,-74.14321,passaic
7432,new jersey,0,40.99312,-74.14286,bergen
7504,new jersey,0,40.912148,-74.14271,passaic
7011,new jersey,1000,40.879699,-74.14263,passaic
12086,new york,0,42.981745,-74.14257,montgomery
7446,new jersey,6950,41.058819,-74.14238,bergen
12440,new york,36,41.801696,-74.14187,ulster
12120,new york,0,42.456127,-74.14059,albany
10926,new york,0,41.299334,-74.14049,orange
7032,new jersey,2250,40.763051,-74.13718,hudson
10302,new york,2700,40.631127,-74.13715,richmond
7014,new jersey,0,40.834049,-74.13669,passaic
8740,new jersey,0,39.925301,-74.13488,ocean
7401,new jersey,6500,41.031505,-74.13409,bergen
7734,new jersey,15,40.444407,-74.13298,monmouth
7031,new jersey,1000,40.791895,-74.13254,bergen
7055,new jersey,3778,40.857384,-74.12899,passaic
10901,new york,4706,41.125695,-74.12682,rockland
7452,new jersey,814,40.961109,-74.12576,bergen
10910,new york,0,41.386195,-74.125718,orange
12485,new york,0,42.199479,-74.12514,greene
10917,new york,0,41.322344,-74.12354,orange
8723,new jersey,1125,40.042479,-74.123,ocean
7463,new jersey,225,41.013109,-74.12231,bergen
7071,new jersey,3500,40.808416,-74.12111,bergen
10930,new york,0,41.35805,-74.12096,orange
7738,new jersey,3900,40.337374,-74.12059,monmouth
7407,new jersey,1750,40.905639,-74.1199,bergen
12577,new york,0,41.433856,-74.11963,orange
10306,new york,12150,40.569394,-74.11785,richmond
7002,new jersey,2500,40.666552,-74.11768,hudson
